Name,Industry,Industry 2,Industry 3,Country,Description,Domain,company_email,phone,Founder,Funding type,Last Equity Funding Amount,Funding Type,Total Equity Funding Amount,Investory,Investor 2,Investor 3,Investor 4 ,Investor,Monthly Visits,Average Visits (6 months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank
AppliedXL,Information Technology,Life Science,Machine Learning,United States,AppliedXL detects early signals in data before they become news.,www.appliedxl.com/,—,2013804836,Francesco Marconi,Seed,—,Seed,"$59,99,999.00",Alumni Ventures,Correlation Ventures,Montage Ventures,Tuesday Capital,Hearst Ventures,97,339.5,-81.87%,8,-94.33%,-37.21%,0%,0%,"1,92,55,202"
Atelier,Home Decor,Interior Design,Marketplace,United States,The Home Design Ecosystem for LATAM,www.atelier-app.com/,hello@atelier-app.com,970-315-2172,,Seed,"$80,000.00",Pre-Seed,"$80,000.00",Visible Hands,Batchery,Zecca Lehn,,,252,276.5,-35.22%,"1,093",406.02%,28.36%,61.51%,-20.51%,"1,26,63,402"
Requesty,Analytics,Artificial Intelligence (AI),Data Integration,United Kingdom,"Requesty enables developers to govern, route, and balance AI model requests through a unified gateway.",www.requesty.ai,support@requesty.ai,—,Thibault Jaigu,Seed,"$30,00,000.00",Seed,"$30,00,000.00",The Twenty Minute VC,Tapestry VC,Tiny Supercomputer Investment Company,,,"32,510","43,412.33",-23.02%,343,-53.46%,-21.36%,51.58%,16.64%,"7,13,771"
Segments.ai,Artificial Intelligence (AI),Information Technology,Machine Learning,Belgium,Deep learning-fueled labeling technology for images and videos with a focus on instance and semantic segmentation on large-scale datasets,segments.ai,hello@segments.ai,32471902322,Davy Neven,M&A,"$10,00,000.00",Pre-Seed,"$10,00,000.00",Y Combinator,Volta Ventures,Merus Capital,Jonathan Cornelissen,,"42,152","53,448.67",-48.38%,"2,175",32.78%,-34.42%,33.62%,-3.83%,"5,85,756"
Sandra AI,Artificial Intelligence (AI),Automotive,Software,United States,Sandra AI is an Automotive Information AI receptionist that offers customer service in the industry.,www.sandra-ai.com/,—,—,Ismail Majjad,Seed,"$15,00,000.00",Pre-Seed,"$15,00,000.00",Y Combinator,Team Ignite Ventures,Yellow,,,"3,441","4,670.17",-10.2%,129,143.4%,31.37%,87.45%,-9.62%,"36,65,604"
Pronti AI,Apparel,Artificial Intelligence (AI),Consumer Software,United States,Transforming shopping search by recommending Retailer items in outfits generated with user’s clothes.,www.pronti.com,support@pronti.app,—,Mila Banerjee,Seed,"$10,000.00",Non-equity Assistance,"$6,50,000.00",Goodwater Capital,Accelerator Centre,Drive Capital,Velocity Incubator,,"18,405","12,716.17",53.81%,43,-57%,16.19%,62.55%,-25.07%,"11,05,446"
The Mintable,Artificial Intelligence (AI),Information Technology,Training,United States,The Mintable is a community-based learning and growth platform for managers.,www.getmintable.com,hello@getmintable.com,—,,Seed,"A$68,00,000.00",Seed,"$62,10,417.00",Blackbird Ventures,Startmate,Global Founders Capital,Flying Fox Ventures,Black Nova Group,—,—,—,—,—,—,—,—,—
Revert Technologies,Artificial Intelligence (AI),Energy Efficiency,Internet of Things,United States,Electricity management and controls provider,reverttechnologies.com/,—,—,Ryan Li,Seed,"$10,94,747.00",Seed,"$10,94,747.00",Techstars,Maine Venture Fund,Synetro Group,,,373,—,131.68%,116,-29.7%,31.04%,38.34%,-37.65%,"1,03,60,732"
Layer,Artificial Intelligence (AI),Information Technology,Photo Editing,United States,Layer focuses on bringing the latest in AI to image editing.,www.layereditor.com,—,—,Koraldo Kajanaku,Seed,"$25,11,998.00",Seed,"$25,11,998.00",,,,,,—,—,—,—,—,—,—,—,—
NocoDB,Collaboration,Database,Infrastructure,United States,NocoDB is an open-source nocode database that instantly provides spreadsheets over databases.,nocodb.com,n@nocodb.com,—,,Seed,"$1,05,00,000.00",Seed,"$1,05,00,000.00",Flex Capital,Together Fund,Naval Ravikant,Decibel Partners,Uncorrelated Ventures,"1,06,354","1,76,621.67",-21.45%,749,49.2%,26.3%,48.18%,0.48%,"2,89,188"
Starboard,Artificial Intelligence (AI),Freight Service,Logistics,Canada,Starboard revolutionize global trade by empowering SMB freight forwarders with cutting-edge AI tools.,www.starboard.biz/,—,—,,Seed,"$55,00,000.00",Seed,"$55,00,000.00",Eclipse Ventures,Everywhere Ventures,Garuda Ventures,,,"2,302","2,575.17",241.54%,44,-91.49%,63.57%,0%,-20.79%,"45,13,176"
Omniscale.io,E-Commerce,Lead Generation,Sales,United States,Omniscale.io enables DTC ecommerce brands to expand into retail and wholesale channels through its B2B sales lead generation database.,omniscale.io/,hello@omniscale.io,—,,Seed,"$1,00,000.00",Pre-Seed,"$1,00,000.00",The Workers Lab,,,,,—,—,—,—,—,—,—,—,—
ValueBase,Information Technology,Real Estate,Software,United States,ValueBase is a software provider that focuses on offering cutting-edge options for real estate assessment.,www.valuebase.co/,—,—,,Seed,"$63,00,000.00",Seed,"$1,39,00,000.00",Narya Capital,Hydrazine Capital,Sam Altman,Mythos Ventures,Nat Friedman,—,—,—,—,—,—,—,—,—
resourcly,Artificial Intelligence (AI),GreenTech,Information Technology,Germany,Resourcly helps manufacturers improve working capital with their shared inventory OS by leveraging product data and AI.,www.resourcly.earth,—,—,,Seed,"€27,00,000.00",Seed,"$32,67,473.00",Techstars,European Institute of Innovation and Technology,Project A Ventures,D11Z.Ventures,Prequel Ventures,489,"1,859.17",-93.14%,347,-8.44%,26.66%,84.87%,-6.58%,"90,64,848"
TimelyAI,Data Center Automation,Information Technology,Software,India,TimelyAI automates an independent professional’s business process and abstracts it from the creative side of their line of work.,www.timelyai.com/,contact@timelyai.com,+91 7379307444,Robin Chauhan,—,"$27,91,699.00",Venture - Series Unknown,"$27,91,699.00",,,,,,"2,723","1,969.5",215.89%,77,-88.71%,-21.33%,46.13%,-37.77%,"41,58,076"
Unified API,Artificial Intelligence (AI),Data Integration,Developer APIs,Canada,"Realtime data integrations for AI SaaS companies, offering Unified API and Unified MCP products.",unified.to,hello@unified.to,—,Roy Pereira,Seed,"CA$11,00,000.00",Pre-Seed,"$11,32,592.00",Alumni Ventures,Techstars,Developer Capital,Blockchain Founders Capital,LOI Venture,"13,151","8,017.17",136.78%,412,7.85%,-33.19%,70.62%,46.18%,"14,32,618"
Handsome App,B2B,Beauty,Marketplace,United States,Handsome App is a career and education marketplace for the beauty industry.,www.handsomeapp.com/,hello@handsomeapp.com,—,Nikki Dominguez,Seed,"$1,00,000.00",Grant,"$21,21,000.00",Meta,MaC Venture Capital,Google for Startups,Flybridge,Acumen America,—,—,—,—,—,—,—,—,—
Sensydia,Artificial Intelligence (AI),Health Care,Medical Device,United States,"Developer of a portable, point-of-care hemodynamic measurement system that uses proprietary sensor tech and machine learning to guide care.",www.sensydia.com/,info@sensydia.com,—,William Kaiser,—,"$30,00,000.00",Grant,"$1,78,04,449.00",Frontier Venture Capital,Colle Capital Partners,Orlando Health Ventures,"National Heart, Lung and Blood Institute",,394,253.33,535.48%,526,-90.38%,404.82%,24.11%,-75.89%,"1,00,79,019"
Gryphon Digital Mining,Bitcoin,Information Technology,Mining,United States,Gryphon Digital Mining is a bitcoin mining operation that creates fully-integrated pure-play bitcoin miners with zero carbon footprint.,gryphondigitalmining.com,—,—,,Early Stage Venture,"$1,40,00,000.00",Series A,"$1,40,00,000.00",Head and Heart Capital,Alpha Transform Holdings,Kevin Miller - GR0,George Burke,Joe Bruzzesi,—,—,—,—,—,—,—,—,—
Tandem AI,Apps,Artificial Intelligence (AI),SaaS,United States,Tandem is an in-app AI copilot that guides users and completes tasks in SaaS products.,www.usetandem.ai/,contact@usetandem.ai,+1 917-930-7645,Manuel Darcemont,Seed,"$38,00,000.00",Seed,"$38,00,000.00",Tribe Capital,K5 Global,Upside,,,462,785,-51.72%,6,-76%,-32.97%,96.97%,39.55%,"93,14,697"
Vengo AI,Artificial Intelligence (AI),B2B,E-Commerce,United States,AI Agents to help business owners capture more sales leads,vengoai.com,info@vengoai.com,2156507160,Kristin LaSalle,Seed,"$3,00,000.00",Grant,"$5,00,000.00",OpenAI,ElevenLabs,NVIDIA,Stripe,Microsoft,314,522.83,-30.53%,0,-94.79%,-18.41%,100%,12.71%,"1,13,10,722"
Architect AI,Artificial Intelligence (AI),,,United States,Architect AI is a developing an agentic website platform.,tryarchitect.com,—,—,,Seed,"$47,50,000.00",Seed,"$47,50,000.00",Concept Ventures,Project A Ventures,Insiders Ventures,,,"1,074","1,136",-4.45%,38,-77.38%,-3.42%,70.67%,16.14%,"63,03,798"
Mountain Protocol,Blockchain,Cryptocurrency,Financial Services,United States,"We believe that everyone deserves access to the ""risk-free rate"" through a secure, regulated, and enterprise-grade product.",mountainprotocol.com,hello@mountainprotocol.com,—,Matías Caricato,M&A,"$80,00,000.00",Series A,"$80,00,000.00",Castle Island Ventures,Coinbase Ventures,Blockchain Founders Fund,Wormhole,New Form Capital,456,"5,258.83",-16.64%,101,129.55%,115.39%,44.08%,-39.57%,"93,78,319"
Helios Blockchain,Artificial Intelligence (AI),Blockchain,Financial Services,,"Helios Blockchain is a Layer-1 blockchain focused on on-chain portfolio structures, cross-chain assets, and AI-assisted asset management.",helioschain.network/,—,—,,Seed,"$1,50,00,000.00",Seed,"$1,50,00,000.00",Bolt's Capital,,,,,—,—,—,—,—,—,—,—,—
Mura,Artificial Intelligence (AI),Information Services,Information Technology,United States,Mura provides AI-powered “dark software” that automates order-to-cash processes for commercial field service companies.,www.mura.co,hello@mura.co,—,James Mackey,Seed,"$45,00,000.00",Seed,"$60,00,000.00",Lerer Hippeau,Level One Fund,Levante,,,"1,164",746.17,81.03%,58,-74.11%,7.73%,54.21%,-21.32%,"60,84,061"
Talli,Health Care,Internet of Things,Software,United States,"Talli is an event tracking platform for infant care, symptom tracking, and more.",talli.me/,support@talli.me,—,,Seed,"$1,50,000.00",Debt Financing,"$17,20,000.00",TheVentureCity,Outlander VC,Cleo Capital,,,"5,927","12,978.17",-55.85%,153,-21.94%,-74.42%,75.87%,"1,111.98%","25,92,629"
Oxen AI,Artificial Intelligence (AI),Data Visualization,Image Recognition,United States,Oxen AI develops a platform for managing machine learning datasets.,www.oxen.ai/,—,—,,—,"$67,49,996.00",Venture - Series Unknown,"$67,49,996.00",Pebblebed,Beat Ventures,House Of Ventures,,,"13,280","14,250",45.15%,919,245.49%,56.55%,51.09%,-18.58%,"14,21,906"
Ink'd Greetings,Consumer Goods,Hardware,Software,United States,Greeting and Gift Card Kiosks,www.inkdgreetings.com/,—,—,,—,"$26,63,620.00",Undisclosed,"$45,13,620.00",Morrison Seger Venture Capital Partners,Rogers Healy,Hamid Shojaee,Venture Madness,,483,"3,079.5",-69.27%,81,-93.04%,-16.02%,45.34%,-31.33%,"91,14,002"
Unknot.id,Artificial Intelligence (AI),Geospatial,Indoor Positioning,United States,Revolutionizing the tracking and monitoring of everything mobile with an AI-powered software platform,www.unknot.id,info@unknot.id,262-902-1285,,Seed,"$13,40,000.00",Seed,"$40,67,900.00",National Science Foundation,United States Air Force,U.S. Army Combat Capabilities Development Command DEVCOM Soldier Center,US Army,,—,—,—,—,—,—,—,—,—
Avataros,Software,,,United States,AvatarOS is the world's premier 3D Avatar platform.,www.avataros.com,info@avataros.com,+1 (213) 806-6773,,Seed,"$70,00,000.00",Seed,"$79,67,000.00",Valia Ventures,M13,A16Z GAMES Speedrun,HF0 Residency,Mento VC,"2,202","2,138",70.7%,316,247.25%,23.97%,21.93%,-63.82%,"46,06,630"
MindFort AI,B2B,Cyber Security,Generative AI,United States,Mindfort AI is an Autonomous AI Security Agent platform that perform continuous penetration testing of your attack surface at massive scale.,mindfort.ai,founders@mindfort.ai,—,Brandon Veiseh,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"2,442","2,520.33",-43.24%,46,820%,-43.76%,95.29%,472.66%,"43,88,618"
Geosimple,Artificial Intelligence (AI),Data Visualization,Geospatial,United States,The Real Estate AI Copilot,geosimple.ai,hello@geosimple.ai,—,,—,"$1,50,000.00",Grant,—,,,,,,"3,726",—,167.86%,693,-26.28%,-5.08%,53.7%,-0.28%,"34,98,948"
Securily,Cloud Computing,Compliance,Cyber Security,United States,"Revolutionizing the cyber landscape by harnessing the power of Generative AI, delivering AI-driven Penetration Testing as a Service.",securily.com,info@securily.com,+1-305-912-8475,Orit Benzaquen,—,—,Non-equity Assistance,—,Google for Startups Latino Founders Fund,CyberTech|X Accelerator,,,,100,—,—,0,—,—,100%,—,"1,90,61,401"
Fabri,Manufacturing,Precious Metals,Software,United States,Fabri is a software based investment casting startup that offers precision metal castings.,fabriusa.com/,—,+1 617-834-4566,,Seed,"$51,99,997.00",Seed,"$51,99,997.00",Lavrock Ventures,SBXi,RTX Ventures,Tenon Ventures,,628,"1,062",-47.62%,2,-97.67%,-38.06%,93.63%,24.87%,"80,32,704"
Airial Travel,Artificial Intelligence (AI),Travel,,United States,Airial Travel is an AI-powered travel agent designed to simplify the flight booking process.,airial.live/,founders@airial.travel,+1 408-598-2729,,Seed,"$30,00,000.00",Seed,"$30,00,000.00",South Park Commons,Peak XV Partners,Montage Ventures,,,—,—,—,—,—,—,—,—,—
Aomni,Artificial Intelligence (AI),B2B,,United States,Aomni uses AI to help B2B sales teams build better buyer relationships and streamline sales activities.,getaomni.com/,support@getaomni.com,(513) 685-3555,,Seed,"$40,00,000.00",Seed,"$40,00,000.00",Decibel Partners,Ride Home Fund,Sancus Ventures,,,—,—,—,—,—,—,—,—,—
Redvest,Artificial Intelligence (AI),Education,FinTech,United States,Redvest is an AI-powered gamified financial education platform designed specifically for Gen Z.,redvest.app,hello@redvest.app,—,,Seed,"$10,00,000.00",Pre-Seed,"$10,00,000.00",Techstars,,,,,217,415.17,-66.3%,435,613.11%,-3.8%,82.95%,32.55%,"1,36,18,905"
DataForge,Analytics,Data Integration,SaaS,United States,"DataForge is a tech company that offers a software platform for accurate data management, integration, and analysis.",www.dataforgelabs.com/,info@dataforgelabs.com,+1 844-222-6974,,—,"$50,000.00",Undisclosed,"$46,39,898.00",Plug and Play,,,,,"3,218","1,969.17",117.14%,28,-90.82%,-26.17%,67.25%,-13.34%,"38,06,620"
seer,E-Commerce,Retail Technology,SaaS,United States,A SaaS-based sales and communication platform for Luxury retailers.,www.helloseer.com/,support@helloseer.com,786-405-5000,Felipe Saint-Jean,Seed,"$23,00,000.00",Seed,"$24,25,000.00",Y Combinator,Pioneer Fund,SoftBank Group,Foundation Capital,Global Founders Capital,235,850.17,-56.24%,0,-93.91%,-29.62%,100%,72.68%,"1,30,97,951"
DoorList,Event Management,Physical Security,Social Network,United States,DoorList is an event management solution that targets ticketed social events.,www.doorlist.app,help@doorlist.app,4348383667,,Seed,"$30,00,000.00",Seed,"$31,50,000.00",Neo,Service Provider Capital,Felton Group,,,"92,500","39,938.83",0.29%,211,77.31%,58.27%,71.35%,9.3%,"3,21,649"
Method AI,Artificial Intelligence (AI),Health Care,Medical,United States,Method AI is developing an AI-backed surgical navigation platform.,www.methodsurgical.ai,doug@methodsurgical.cloud,—,Jihad Kaouk,Early Stage Venture,"$2,00,00,000.00",Series A,"$2,00,00,000.00",Cleveland Clinic,JobsOhio,,,,151,652.17,-71.35%,0,-54.39%,-44.41%,100%,168.89%,"1,61,19,050"
Artos,Artificial Intelligence (AI),B2B,Biotechnology,United States,Artos is an AI-based document-drafting platform that allows life sciences teams to convert their data and reports into submission packages.,www.artosai.com,info@artosai.com.,—,Varun Patel,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,Pioneer Fund,,,,"1,442",768,168.53%,61,-79.87%,-19.52%,56.66%,5.65%,"55,36,876"
Inco,Apps,Gaming,Mobile Apps,United States,Inco develops a global confidentiality layer for Ethereum and other networks.,www.inco.org,—,—,,Seed,"$50,00,000.00",Seed,"$95,00,000.00",South Park Commons,Coinbase Ventures,Script Capital,a16z crypto,Robot Ventures,"53,312","1,20,974.33",-32.98%,357,32.71%,-10.36%,61.72%,12.46%,"4,89,987"
Olto,Artificial Intelligence (AI),Software,,United States,"Olto crafts personalized live demos by overlaying AI-generated, prospect-relevant data on top of your existing production apps.",www.olto.com/,—,—,,Seed,"$51,00,000.00",Pre-Seed,"$51,00,000.00",Nexus Venture Partners,Afore Capital,The General Partnership,FirsthandVC,Bharat Founders Fund,580,"1,123",36.47%,46,-79.09%,-0.4%,67.93%,31.83%,"83,46,158"
Tesseral,Cloud Security,Cyber Security,Developer APIs,United States,The open source auth infrastructure for B2B SaaS,tesseral.com,founders@tesseral.com,8332884669,Ulysse Carion,Seed,"$33,00,000.00",Seed,"$38,00,000.00",Y Combinator,Houghton Street Ventures,Paul Graham,Calvin French-Owen,Jessica Livingston,"2,703","2,581.5",226.06%,256,-91.55%,-88.79%,64.93%,6.58%,"41,73,841"
HUI,Blockchain,Enterprise Resource Planning (ERP),Information Technology,Italy,HUI is the first SaaS/Cloud platform that allows you to manage all the processes and business units of your company.,world.hui.land,—,—,,Early Stage Venture,"€2,50,00,000.00",Series A,"€2,54,00,000.00",Enry's Island SpA,Invitalia,Nimbus Capital,,,—,—,—,—,—,—,—,—,—
Mindra,Information Technology,Internet,Operating Systems,,Mindra mission is to solving the fundamental orchestration challenges that block autonomous multi-agent collaboration.,mindra.co/,info@mindra.co,—,Zeynep Yorulmaz,Seed,"$12,00,000.00",Pre-Seed,"$12,00,000.00",TQ Ventures,,,,,"5,023",—,—,441,—,—,53.69%,—,"28,89,130"
Deegtal,Artificial Intelligence (AI),Medical,Medical Device,Switzerland,Deegtal is a technology company that provides solutions to enhance the efficiency and accuracy of epilepsy diagnosis.,www.deegtal.ai/,—,—,,Seed,"CHF 6,40,000.00",Grant,"CHF 10,00,000.00",Venture Kick,Innosuisse,Wyss Center,,,139,—,-87.07%,14,-84.62%,-6.19%,52.52%,-12.6%,"1,66,88,106"
